,value,percentage
Home & Utilities,1315.22,21.427500814597593
Office Lunch,216.88000000000005,3.5333985011404376
Grocery,208.36,3.3945910720104275
Food & Drinks,107.56,1.7523623330074947
Bills,248.0,4.040404040404041
Car,206.0,3.3561420658194856
Shopping,103.72,1.6898012381883352
Fuel,68.08,1.1091560768980127
Gifts,21.97,0.35793418051482573
Travel,17.42,0.2838057999348323
home,1656.610768091463,26.989422745054792
vacation,250.20116982183393,4.076265392991756
wedding,403.53430005279404,6.574361356350507
retirement,951.9647620339088,15.509363995339017
Guilt Free,362.47900000000004,5.905490387748453
