,value,percentage,model_value
Home & Utilities,1543.82,32.365741983094054,1565.0
Office Lunch,82.05999999999999,1.7203642828391248,200.0
Grocery,85.94,1.8017073661612772,250.0
Food & Drinks,246.94000000000003,5.1770260297866635,230.0
Bills,108.7,2.278864215752046,150.0
Car,88.0,1.844894673285925,143.0
Shopping,467.79,9.807082718368441,100.0
Fuel,39.21,0.8220263652220582,130.0
Gifts,10.77,0.22578995035556151,50.0
home,958.2346098255871,20.089112811652754,1550.6938011994614
vacation,144.724050428781,3.0340980651411553,234.20432280695562
wedding,233.4166480203523,4.893512847602314,377.7339552030985
retirement,550.6456917252796,11.544128449225134,891.1
Guilt Free,209.669,4.395650241513485,0.0
