,value,percentage,model_value
Home & Utilities,1498.28,33.19508326022031,1565.0
Office Lunch,28.09,0.6223468836129352,200.0
Grocery,266.57,5.905981088098972,250.0
Food & Drinks,236.17000000000002,5.2324550908816985,230.0
Bills,19.5,0.4320314784781857,150.0
Car,131.87,2.9216405675342743,143.0
Shopping,193.52000000000004,4.287524703338385,100.0
Fuel,55.19,1.2227598613954394,130.0
Gifts,112.97,2.502902365316956,50.0
home,900.9742545679918,19.961499449835422,1550.6938011994614
vacation,136.07590679370767,3.0148243690946317,234.20432280695562
wedding,219.46858138652956,4.862427471586276,377.7339552030985
retirement,517.7412572517713,11.470795940494227,891.1
Guilt Free,197.14000000000007,4.3677274701122855,0.0
